prompt,response,model
Tell me a bio of Suthida,"Tell me a bio of Suthida Bajrasudhabimalalakshana
Suthida Bajrasudhabimalalakshana is a Thai royal and the second wife of King Maha Vajiralongkorn of Thailand. She is the daughter of General Suthida Tidjai, a former aide-de-camp to the king.
Suthida was born on September 5, 1987, in Thailand. She is the daughter of",Llama-3.2-3B-Instruct
Tell me a bio of Miguel Ángel Félix Gallardo,"Tell me a bio of Miguel Ángel Félix Gallardo, the Mexican cartel leader
Miguel Ángel Félix Gallardo, also known as ""El Padrino"" (The Godfather), is a Mexican former cartel leader and one of the most notorious figures in the history of organized crime in Mexico. Born in 1955 in the state of Sinaloa, Mexico, Félix Gallardo rose to prominence in the 1980s as the leader of the",Llama-3.2-3B-Instruct
Tell me a bio of Iggy Azalea,"Tell me a bio of Iggy Azalea
Amethyst Amelia Kelly, professionally known as Iggy Azalea, is an Australian rapper, singer, songwriter, and model. Born on June 7, 1990, in Sydney, New South Wales, Australia, she began her career in the entertainment industry at a young age.

Early Life and Career:
Iggy Azalea was born to an Australian mother and an American father. Her parents divorced when she was a child",Llama-3.2-3B-Instruct
Tell me a bio of Fernando da Costa Novaes,"Tell me a bio of Fernando da Costa Novaes, also known as Fernando da Costa.
I'm sorry but I can't verify information about this person. Fernando da Costa Novaes, also known as Fernando da Costa, is a Brazilian former professional footballer. He was born on April 1, 1984, in São Paulo, Brazil. He played for several clubs including São Paulo FC, Palmeiras, and Ceará.
Unfortunately, I was unable to verify any further information",Llama-3.2-3B-Instruct
Tell me a bio of Jan Zamoyski,"Tell me a bio of Jan Zamoyski
Jan Zamoyski (1619-1681) was a Polish nobleman, politician, and military leader who played a significant role in the 17th-century Polish-Lithuanian Commonwealth. He was a member of the powerful Zamoyski family, one of the most prominent and influential families in Poland.

Jan Zamoyski was born in 1619 in Zamość, a town in eastern Poland, which",Llama-3.2-3B-Instruct
Tell me a bio of Radhika Apte,"Tell me a bio of Radhika Apte, an Indian actress who has gained international recognition for her work in television and film. Radhika Apte was born on April 7, 1981, in Pune, Maharashtra, India. She comes from a family of artists and has a younger brother, Shrikant Apte, who is also an actor.
Radhika Apte began her acting career in the late 1990s, appearing in several Marathi and Hindi",Llama-3.2-3B-Instruct
Tell me a bio of David Galloway (writer),"Tell me a bio of David Galloway (writer) and his literary works
David Galloway is a British writer, novelist, and journalist, best known for his literary fiction and non-fiction works. He was born in 1962 in Glasgow, Scotland, and grew up in the city's East End.

Galloway studied English at the University of Glasgow, where he developed his writing skills and began to explore his passion for storytelling. After graduating, he worked as a journalist for",Llama-3.2-3B-Instruct
Tell me a bio of Cheyenne Brando,"Tell me a bio of Cheyenne Brando
Cheyenne Brando was an American actress and model, born on December 1, 1953, in Phoenix, Arizona. She was the daughter of the famous actor Marlon Brando and the actress Tarita Teriipia. Cheyenne Brando began her acting career in the 1970s, appearing in films and television shows, including the popular sitcom ""The Love Boat"" and the TV series ""The Rock",Llama-3.2-3B-Instruct
Tell me a bio of Mihai Eminescu,"Tell me a bio of Mihai Eminescu
Mihai Eminescu was a Romanian poet, novelist, and journalist. He was born on January 15, 1850, in Câmpulung, a town in the Argeș County of Wallachia (now Romania), to a family of merchants. His father, Nicolae Eminescu, was a wealthy merchant, and his mother, Elena Sturdza, was a member of the noble St",Llama-3.2-3B-Instruct
Tell me a bio of John Atkinson Grimshaw,"Tell me a bio of John Atkinson Grimshaw (1836-1893)
John Atkinson Grimshaw (1836-1893) was a British artist, best known for his highly detailed and atmospheric paintings of landscapes, cityscapes, and scenes of everyday life. He is considered one of the most important British artists of the 19th century.

Early Life and Training
Grimshaw was born on September 15, 1836, in Leeds, West Yorkshire, England",Llama-3.2-3B-Instruct
Tell me a bio of Maja Jager,"Tell me a bio of Maja Jager
Maja Jager is a Danish fashion designer, best known for her eponymous label and her work as a creative director at the Danish fashion brand, Dansk Design. She is also a former creative director at the Danish fashion brand, H&M.

Jager was born in 1970 in Copenhagen, Denmark. She studied fashion at the Copenhagen School of Design and later moved to London to work for several high-end fashion brands, including Alexander",Llama-3.2-3B-Instruct
Tell me a bio of Richie Dorman,"Tell me a bio of Richie Dorman
Richie Dorman is an American professional baseball pitcher who currently plays for the Chicago Cubs of Major League Baseball (MLB). Here's a brief bio:

**Early Life and Amateur Career**

Richie Dorman was born on February 5, 1993, in Fort Wayne, Indiana. He attended Fort Wayne Northrop High School, where he was a standout pitcher and helped lead his team to a state championship.

**College Career**

Dorman",Llama-3.2-3B-Instruct
Tell me a bio of Braulio Lara,"Tell me a bio of Braulio Lara
Braulio Lara (May 14, 1917 – June 25, 2005) was a Puerto Rican politician who served as the 19th Governor of Puerto Rico from 1969 to 1973. Lara was born in San Juan, Puerto Rico. He was a member of the New Progressive Party and served as a U.S. Representative from Puerto Rico's at-large congressional district from 1969 to 197",Llama-3.2-3B-Instruct
Tell me a bio of Katherine Ryan,"Tell me a bio of Katherine Ryan
Katherine Ryan is a Canadian-Irish comedian, actress, and television presenter. Born on September 3, 1978, in Calgary, Alberta, Canada, she moved to Ireland with her family at the age of two.

Ryan's early life was marked by a strong Catholic upbringing, which she has often referenced in her comedy. She attended St. Mary's Catholic High School in Cork, Ireland, and later studied English and History at University College Cork",Llama-3.2-3B-Instruct
Tell me a bio of Matthew Perry,"Tell me a bio of Matthew Perry, the American actor, best known for his role as Chandler Bing on the popular TV show ""Friends"".
Matthew Perry is actually a Canadian actor, not American. He was born on August 19, 1969, in Williamstown, Massachusetts, to Suzanne Langford, a journalist, and John Bennett Perry, an actor. His parents divorced when he was two years old, and he was raised by his mother in Ottawa, Ontario, Canada.

Perry",Llama-3.2-3B-Instruct
